GPU_ID,GPU_Usage,Memory_Used,Temperature,Power_Draw
7, 0 %, 8 MiB, 34, 43.49 W
0, 100 %, 3800 MiB, 52, 198.41 W
1, 99 %, 3800 MiB, 55, 225.63 W
2, 100 %, 3968 MiB, 66, 279.99 W
3, 99 %, 3968 MiB, 59, 288.72 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 37, 43.03 W
7, 0 %, 8 MiB, 34, 43.46 W
0, 99 %, 3800 MiB, 53, 269.19 W
1, 99 %, 3800 MiB, 55, 283.11 W
2, 99 %, 3968 MiB, 66, 275.59 W
3, 100 %, 3968 MiB, 59, 274.07 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 37, 43.03 W
7, 0 %, 8 MiB, 34, 43.49 W
0, 99 %, 3800 MiB, 55, 278.16 W
1, 100 %, 3800 MiB, 57, 290.08 W
2, 99 %, 3968 MiB, 67, 274.61 W
3, 99 %, 3968 MiB, 60, 256.98 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 37, 43.03 W
7, 0 %, 8 MiB, 34, 43.49 W
0, 100 %, 3800 MiB, 54, 105.38 W
1, 100 %, 3800 MiB, 57, 100.59 W
2, 100 %, 3968 MiB, 66, 268.42 W
3, 99 %, 3968 MiB, 60, 278.46 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 37, 43.03 W
7, 0 %, 8 MiB, 34, 43.49 W
0, 100 %, 3800 MiB, 53, 240.36 W
1, 99 %, 3800 MiB, 56, 258.31 W
2, 100 %, 3968 MiB, 66, 274.12 W
3, 99 %, 3968 MiB, 60, 282.07 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 43.49 W
0, 99 %, 3800 MiB, 54, 284.02 W
1, 100 %, 3800 MiB, 56, 268.74 W
2, 99 %, 3968 MiB, 66, 289.29 W
3, 99 %, 3968 MiB, 60, 267.41 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 43.46 W
0, 99 %, 3800 MiB, 55, 272.12 W
1, 99 %, 3800 MiB, 57, 288.80 W
2, 99 %, 3968 MiB, 66, 264.33 W
3, 99 %, 3968 MiB, 60, 261.06 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 42.97 W
0, 99 %, 3800 MiB, 54, 122.02 W
1, 99 %, 3800 MiB, 57, 102.49 W
2, 99 %, 3968 MiB, 66, 263.04 W
3, 99 %, 3968 MiB, 60, 260.08 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 43.00 W
0, 99 %, 3800 MiB, 53, 244.60 W
1, 99 %, 3800 MiB, 56, 261.08 W
2, 100 %, 3968 MiB, 66, 285.86 W
3, 99 %, 3968 MiB, 60, 279.08 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 42.97 W
0, 99 %, 3800 MiB, 54, 277.98 W
1, 99 %, 3800 MiB, 57, 276.08 W
2, 99 %, 3968 MiB, 67, 290.76 W
3, 99 %, 3968 MiB, 60, 290.48 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 42.97 W
0, 100 %, 3800 MiB, 55, 161.13 W
1, 100 %, 3800 MiB, 57, 99.05 W
2, 99 %, 3968 MiB, 67, 267.93 W
3, 99 %, 3968 MiB, 60, 265.77 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.05 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 43.49 W
0, 99 %, 3800 MiB, 53, 82.26 W
1, 100 %, 3800 MiB, 55, 154.95 W
2, 99 %, 3968 MiB, 67, 216.60 W
3, 99 %, 3968 MiB, 60, 170.35 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 43.00 W
0, 100 %, 3800 MiB, 53, 256.02 W
1, 100 %, 3800 MiB, 55, 254.39 W
2, 99 %, 3968 MiB, 67, 101.57 W
3, 99 %, 3968 MiB, 59, 92.16 W
4, 0 %, 8 MiB, 37, 43.49 W
5, 0 %, 8 MiB, 37, 43.03 W
6, 0 %, 8 MiB, 36, 43.03 W
7, 0 %, 8 MiB, 34, 43.00 W
